jornal_url,journal,article_number,citation_number,impact_factor,most_cited,year,cited_by,Search_Keywords
/journal/20204/nano,Nano,1600.0,9000.0,1.1,INVESTIGATION OF HOMOLOGOUS SERIES AS PRECURSORY HYDROCARBONS FOR ALIGNED CARBON NANOTUBE FORMATION BY THE SPRAY PYROLYSIS METHOD,2011.0,218.0,cancer+nano
/journal/27969/nano-structures-nano-objects,Nano Structures Nano Objects,576.0,7300.0,5.5,Chapter 3 Super-resolution microscopy using surface plasmon polaritons,2006.0,1.0,cancer+nano
/journal/88571/advances-in-nano-optics-and-nano-photonics,Advances in Nano-optics and Nano-photonics,18.0,3.0,,Recent developments in functionalized polymer nanoparticles for efficient drug delivery system,2019.0,141.0,cancer+nano
/journal/12805/nano-letters,Nano Letters,18100.0,1900000.0,11.3,Superior thermal conductivity of single-layer graphene,2008.0,9800.0,cancer+nano
/journal/12906/acs-nano,ACS Nano,16700.0,1400000.0,16.4,Improved synthesis of graphene oxide,2010.0,8200.0,cancer+nano
/journal/14857/nano-energy,Nano Energy,7000.0,355100.0,16.9,Flexible triboelectric generator,2012.0,2900.0,cancer+nano
/journal/16363/nano-research,Nano Research,4400.0,147000.0,9.9,Nano-Graphene Oxide for Cellular Imaging and Drug Delivery,2008.0,2700.0,cancer+nano
/journal/23596/nano-today,Nano Today,1100.0,88400.0,17.7,Designing nanostructured Si anodes for high energy lithium ion batteries,2012.0,1500.0,cancer+nano
/journal/31254/nano-life,Nano LIFE,278.0,1500.0,0.9,MAGNETIC NANOPARTICLE HYPERTHERMIA IN CANCER TREATMENT,2010.0,199.0,cancer+nano
/journal/31893/nano-convergence,Nano Convergence,302.0,5700.0,8.9,Roadmap on solar water splitting: current status and future prospects,2017.0,109.0,cancer+nano
/journal/37020/nano-futures,Nano Futures,127.0,1000.0,3.4,Hyperbolic metamaterials: fundamentals and applications,2014.0,312.0,cancer+nano
