jornal_url,journal,article_number,citation_number,impact_factor,most_cited,year,cited_by
/journal/35949/cancer-nanotechnology,Cancer Nanotechnology,136.0,3100.0,7.3,Gold nanoparticles for cancer radiotherapy: a review,2016.0,227.0
/journal/20204/nano,Nano,1600.0,8900.0,1.1,INVESTIGATION OF HOMOLOGOUS SERIES AS PRECURSORY HYDROCARBONS FOR ALIGNED CARBON NANOTUBE FORMATION BY THE SPRAY PYROLYSIS METHOD,2011.0,217.0
/journal/12736/nanotechnology,Nanotechnology,20200.0,547400.0,3.3,The bactericidal effect of silver nanoparticles,2005.0,4600.0
/journal/27969/nano-structures-nano-objects,Nano Structures Nano Objects,576.0,7200.0,5.5,Recent developments in functionalized polymer nanoparticles for efficient drug delivery system,2019.0,137.0
/journal/88571/advances-in-nano-optics-and-nano-photonics,Advances in Nano-optics and Nano-photonics,18.0,3.0,N/A,Chapter 3 Super-resolution microscopy using surface plasmon polaritons,2006.0,1.0
/journal/12805/nano-letters,Nano Letters,18100.0,1800000.0,11.3,Superior thermal conductivity of single-layer graphene,2008.0,9700.0
/journal/12906/acs-nano,ACS Nano,16700.0,1400000.0,16.4,Improved synthesis of graphene oxide,2010.0,8100.0
/journal/14857/nano-energy,Nano Energy,7000.0,353800.0,16.9,Flexible triboelectric generator,2012.0,2900.0
/journal/16363/nano-research,Nano Research,4400.0,146300.0,9.9,Nano-Graphene Oxide for Cellular Imaging and Drug Delivery,2008.0,2700.0
/journal/23596/nano-today,Nano Today,1100.0,88000.0,17.7,Designing nanostructured Si anodes for high energy lithium ion batteries,2012.0,1500.0
/journal/31254/nano-life,Nano LIFE,279.0,1500.0,0.9,MAGNETIC NANOPARTICLE HYPERTHERMIA IN CANCER TREATMENT,2010.0,199.0
/journal/31893/nano-convergence,Nano Convergence,302.0,5600.0,8.9,Hyperbolic metamaterials: fundamentals and applications,2014.0,310.0
/journal/37020/nano-futures,Nano Futures,126.0,997.0,3.4,Roadmap on solar water splitting: current status and future prospects,2017.0,109.0
/journal/39129/nano-hybrids,Nano Hybrids,56.0,228.0,N/A,Green Synthesis of Silver Nanoparticles Using Local Honey,2013.0,27.0
/journal/39334/nano-reviews,Nano Reviews,49.0,3400.0,N/A,Potential toxicity of superparamagnetic iron oxide nanoparticles (SPION),2010.0,675.0
/journal/39784/nano-express,Nano Express,278.0,765.0,1.9,"Synthesis of ZnO nanoparticles by two different methods & comparison of their structural, antibacterial, photocatalytic and optical properties",2020.0,38.0
/journal/47887/applied-nano,Applied Nano,37.0,43.0,1.0,Palladium-Nanoparticles Biohybrids in Applied Chemistry,2021.0,7.0
/journal/69697/nano-select,Nano Select,243.0,717.0,3.0,How to select effective electrocatalysts: Nano or single atom?,2021.0,38.0
/journal/93297/nano-advances,Nano Advances,27.0,111.0,0.0,Recent Advances in Heteroatom-Doped Graphene Materials as Efficient Electrocatalysts towards the Oxygen Reduction Reaction,2016.0,33.0
/journal/15515/nature-nanotechnology,Nature Nanotechnology,2800.0,597400.0,28.0,Electronics and optoelectronics of two-dimensional transition metal dichalcogenides,2012.0,10600.0
/journal/21723/nanotechnologies-in-russia,Nanotechnologies in Russia,1200.0,5700.0,0.6,"Ion-exchange membrane materials: Properties, modification, and practical application",2009.0,80.0
/journal/27139/journal-of-nanotechnology,Journal of Nanotechnology,489.0,5700.0,3.4,Biosynthesis of Metal Nanoparticles: A Review,2014.0,222.0
/journal/28970/nanotechnology-reviews,Nanotechnology Reviews,695.0,7900.0,6.2,Interactions of graphene and graphene oxide with proteins and peptides,2013.0,160.0
/journal/30455/nanomaterials-and-nanotechnology,Nanomaterials and Nanotechnology,321.0,3300.0,2.8,A Review on the Preparation of Borazine-Derived Boron Nitride Nanoparticles and Nanopolyhedrons by Spray-Pyrolysis and Annealing Process,2016.0,100.0
/journal/35647/pharmaceutical-nanotechnology,Pharmaceutical Nanotechnology,241.0,1500.0,3.8,Drug Combinations in Breast Cancer Therapy,2019.0,69.0
/journal/39599/isrn-nanotechnology,ISRN Nanotechnology,104.0,1300.0,N/A,"Synthesis, Characterization, and Spectroscopic Properties of ZnO Nanoparticles",2012.0,221.0
/journal/43163/nanotechnology-development,Nanotechnology Development,17.0,212.0,N/A,Effect of nanoparticles suspension on the growth of mung (Vigna radiata) seedlings by foliar spray method,2013.0,94.0
/journal/46481/frontiers-in-nanotechnology,Frontiers in Nanotechnology,83.0,388.0,5.4,Nanoparticle-Based Sustainable Agriculture and Food Science: Recent Advances and Future Outlook,2020.0,71.0
/journal/47532/nanoscience-and-nanotechnology,Nanoscience and Nanotechnology,45.0,1300.0,N/A,Mechanical Milling: a Top Down Approach for the Synthesis of Nanomaterials and Nanocomposites,2012.0,309.0
/journal/48558/computational-nanotechnology,Computational Nanotechnology,135.0,22.0,0.1,Mathematical modeling of the spread of COVID-19 in Moscow,2020.0,9.0
/journal/87477/nanotechnology-perceptions,Nanotechnology Perceptions,94.0,278.0,0.2,What is nanotechnology?,2005.0,30.0
/journal/90843/perspectives-in-nanotechnology,Perspectives in Nanotechnology,15.0,16.0,N/A,Nanotechnology and Global Sustainability,2011.0,3.0
/journal/101410/nanotechnologies-in-construction,Nanotechnologies in Construction,195.0,177.0,0.5,Influence of electrode potential on the depth of pitting corrosion in the surface structures of placed steel,2018.0,13.0
/journal/107422/journal-of-nanotechnology,Journal of Nanotechnology,21.0,16.0,0.0,"Reduction of Coliforms presents in domestic residual waters by Air-Ozone Micro-Nanobubbles In Carhuaz city, Peru",2017.0,4.0
/journal/110610/nanotechnology-applications,Nanotechnology & Applications,14.0,7.0,0.0,Fabrication of Polyaniline-Zr(IV) Molybdophosphate as a Nanocomposite and its Potential Applications,2018.0,2.0
/journal/17392/micro-and-nano-letters,Micro and Nano Letters,2900.0,14400.0,0.9,Experimental investigation of viscosity and specific heat of silicon dioxide nanofluids,2007.0,239.0
/journal/21365/environmental-science-nano,Environmental Science: Nano,1500.0,34900.0,7.0,"Recent advances in BiOX (X = Cl, Br and I) photocatalysts: synthesis, modification, facet effects and mechanisms",2014.0,511.0
/journal/22391/journal-of-nano-research,Journal of Nano Research,1100.0,5000.0,1.0,"The Use of Metal Nanoparticles to Produce Yellow, Red and Iridescent Colour, from Bronze Age to Present Times in Lustre Pottery and Glass: Solid State Chemistry, Spectroscopy and Nanostructure",2009.0,112.0
/journal/24727/nano-micro-letters,Nano-Micro Letters,1100.0,32100.0,19.2,Review on Zinc Oxide Nanoparticles: Antibacterial Activity and Toxicity Mechanism,2015.0,1800.0
/journal/29728/international-nano-letters,International Nano Letters,357.0,8800.0,5.6,"Silver nanoparticles: mechanism of antimicrobial action, synthesis, medical applications, and toxicity effects",2012.0,1200.0
/journal/30681/nano-communication-networks,Nano Communication Networks,281.0,5800.0,2.7,Electromagnetic wireless nanosensor networks,2010.0,414.0
/journal/31995/nano-hybrids-and-composites,Nano Hybrids and Composites,277.0,483.0,0.7,Fabrication and Characterization of Pineapple Fiber-Reinforced Polypropylene Based Composites,2018.0,16.0
/journal/37522/materials-today-nano,Materials Today Nano,223.0,2300.0,9.6,Polymers of intrinsic microporosity for energy-intensive membrane-based gas separations,2018.0,125.0
/journal/37830/nano-biomedicine-and-engineering,Nano Biomedicine and Engineering,285.0,2000.0,1.9,Silver Nanoparticles: Novel Antimicrobial Agent Synthesized from an Endophytic Fungus Pestalotia sp. Isolated from Leaves of Syzygium cumini (L),2011.0,96.0
/journal/38167/nano-materials-science,Nano Materials Science,120.0,1900.0,10.1,"Synthesis, properties, and applications of graphene oxide/reduced graphene oxide and their nanocomposites",2019.0,443.0
/journal/39203/micro-and-nano-engineering,Micro and Nano Engineering,129.0,513.0,3.2,30 years of microfluidics,2019.0,189.0
/journal/41701/nano-research-applications,Nano Research & Applications,16.0,49.0,0.0,"The Study of Structural, Physical and Electrochemical Activity of Zno Nanoparticles Synthesized by Green Natural Extracts of Sageretia Thea",2017.0,15.0
/journal/43995/nano-reviews-experiments,Nano Reviews & Experiments,12.0,302.0,N/A,Polyethylenimine-based nanocarriers in co-delivery of drug and gene: a developing horizon,2018.0,105.0
/journal/47931/advances-in-nano-research,Advances in Nano Research,85.0,650.0,N/A,Nonlocal effects on thermal buckling properties of double-walled carbon nanotubes,2013.0,94.0
/journal/59173/nano-optics-and-nanophotonics,Nano-optics and Nanophotonics,130.0,281.0,0.0,Quantum Dots for Quantum Information Technologies,2017.0,84.0
/journal/65225/micronano-technologies,Micro/Nano Technologies,108.0,33.0,N/A,Triboelectric Nanogenerators,2018.0,9.0
